,result,table,_start,_stop,_time,_value,_field,_measurement,device_type,location,sensor_id,source
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:00:00Z,41.35294117647059,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:03:00Z,39.1875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:06:00Z,40.375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:09:00Z,39.05882352941177,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:12:00Z,36.4375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:15:00Z,38.0625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:18:00Z,37.411764705882355,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:21:00Z,39.75,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:24:00Z,38.64705882352941,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:27:00Z,37.6875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:30:00Z,37.6875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:33:00Z,39.294117647058826,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:36:00Z,37,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:39:00Z,36.125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:42:00Z,37.76470588235294,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:45:00Z,37.375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:48:00Z,37.625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:51:00Z,37.64705882352941,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:54:00Z,38.0625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T02:57:00Z,35.5625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:00:00Z,35.8235294117647,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:03:00Z,32.5625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:06:00Z,33.375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:09:00Z,31.941176470588236,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:12:00Z,31.875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:15:00Z,33.9375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:18:00Z,34.94117647058823,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:21:00Z,35.1875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:24:00Z,32.88235294117647,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:27:00Z,34.9375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:30:00Z,31.3125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:33:00Z,29.647058823529413,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:36:00Z,30.3125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:39:00Z,31.875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:42:00Z,32.11764705882353,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:45:00Z,32.375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:48:00Z,29.9375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:51:00Z,29.11764705882353,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:54:00Z,31.875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T03:57:00Z,31.125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:00:00Z,31.764705882352942,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:03:00Z,31.625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:06:00Z,31.1875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T04:09:00Z,31.352941176470587,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
